Genus_&_Specie,Time,Location,Zone,Current_Country,Habitat,Cranial_Capacity,Height,Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton
Homo Georgicus,2.26641019,Asia ,west,Georgia,savannah,724.27851,159.52945,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Aethiopicus,2.50129507,Africa,oriental,Kenya,forest-savanna,568.82298,103.35261,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Africanus,3.78243915,Africa,south,South Africa,forest-gallery,481.01165,109.61144,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Habilis,2.54893379,Africa,oriental,Ethiopia,savannah,738.81781,127.6641,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Paranthropus Boisei,2.79072596,Africa,oriental,Ethiopia,forest,503.29853,107.74848,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Ergaster,2.12698819,Africa,oriental,Kenya,savannah,949.8697,155.73885,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Robustus,1.86906935,Africa,south,South Africa,jungle,533.70421,116.05114,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Rodhesiensis,0.97137549,Africa,oriental,Ethiopia,savannah,1048.63849,144.67528,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Ergaster,1.3939475,Africa,oriental,Kenya,savannah,830.09075,163.05825,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Bahrelghazali,3.26537338,Africa,central,Republic of Chad,mixed,233.02667,127.07607,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Australopithecus Anamensis,4.71300926,Africa,oriental,Kenya,forest-gallery,376.55078,124.67567,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Rodhesiensis,0.63443601,Africa,oriental,Ethiopia,savannah,1147.78352,144.86897,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
hominino Orrorin tugenencin,5.88580351,Africa,oriental,Kenya,forest,6.70078,118.98343,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Habilis,2.24732287,Africa,oriental,Ethiopia,savannah,666.60892,138.55424,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
"Homo Neanderthalensis
",0.70283892,Europa,central,Germany,cold forest,961.37105,165.53526,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Paranthropus Aethiopicus,3.26091782,Africa,oriental,Kenya,forest-savanna,479.44977,118.14782,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Ergaster,1.59817072,Africa,oriental,Kenya,savannah,847.06598,166.88088,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Rudolfensis,2.81512135,Africa,oriental,Kenya,savannah,593.65589,139.92163,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Erectus,1.36745751,Asia ,west,Indonesia,savannah,1143.53991,165.28939,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Georgicus,1.61447868,Asia ,west,Georgia,savannah,690.78212,144.29887,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Sediba,2.2007215,Africa,south,South Africa,mixed,254.40343,117.21719,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Habilis,2.90728401,Africa,oriental,Ethiopia,savannah,707.22765,139.27718,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Heidelbergensis,1.11380824,Europa,central,Germany,cold forest,1300.51392,173.35443,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Sahelanthropus tchadensis,7.24145117,Africa,central,Republic of Chad,mixed,288.13212,81.71733,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Bahrelghazali,3.89189563,Africa,central,Republic of Chad,mixed,426.64366,111.83347,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Australopithecus Garhi,2.45369,Africa,oriental,Ethiopia,mixed,237.67234,118.33055,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Naledi,0.15645918,Africa,south,South Africa,jungle,420.62777,122.07171,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Naledi,0.4957614,Africa,south,South Africa,jungle,479.22209,120.9463,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Sapiens,0.1813212,Africa,oriental,Kenya,savannah,1126.49503,176.12816,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Rodhesiensis,1.12600377,Africa,oriental,Ethiopia,savannah,1068.35522,156.28853,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Georgicus,2.36924001,Asia ,west,Georgia,savannah,767.54954,143.16999,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Antecesor,0.74943373,Europa,west,Spain,savannah,1122.0962,168.16829,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Homo Ergaster,1.3553394,Africa,oriental,Kenya,savannah,896.64081,164.55659,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Ardipithecus ramidus / kabadda,3.97079518,Africa,oriental,Ethiopia,mixed,227.56886,115.58531,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Antecesor,1.63549639,Europa,west,Spain,savannah,1135.34643,165.81491,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Paranthropus Aethiopicus,2.66001789,Africa,oriental,Kenya,forest-savanna,575.78878,107.81195,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Sediba,2.39651212,Africa,south,South Africa,mixed,268.59279,113.49872,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Heidelbergensis,0.34001675,Europa,central,Germany,cold forest,1311.56899,165.52793,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
"Homo Neanderthalensis
",0.62667939,Europa,central,Germany,cold forest,1137.70508,161.74434,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Sahelanthropus tchadensis,7.51031357,Africa,central,Republic of Chad,mixed,266.49876,95.47703,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Paranthropus Boisei,2.86325807,Africa,oriental,Ethiopia,forest,545.48806,103.79379,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Erectus,1.20633204,Asia ,west,Indonesia,savannah,1089.36586,156.07079,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Georgicus,2.49180602,Asia ,west,Georgia,savannah,821.59255,154.37481,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
hominino Sahelanthropus tchadensis,7.63803597,Africa,central,Republic of Chad,mixed,14.5762,86.37325,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Australopithecus Anamensis,4.52593467,Africa,oriental,Kenya,forest-gallery,321.80913,115.8887,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Naledi,0.10654529,Africa,south,South Africa,jungle,291.30707,137.61333,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Sediba,2.3658283,Africa,south,South Africa,mixed,528.26615,102.90851,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
hominino Orrorin tugenencin,6.0084983,Africa,oriental,Kenya,forest,84.37869,114.64665,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Naledi,0.02610761,Africa,south,South Africa,jungle,295.60708,134.56439,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Heidelbergensis,0.56512509,Europa,central,Germany,cold forest,1392.97367,171.04153,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Rodhesiensis,0.98806972,Africa,oriental,Ethiopia,savannah,1039.77559,146.79652,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Australopithecus Africanus,4.10523064,Africa,south,South Africa,forest-gallery,530.26707,103.27234,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Rodhesiensis,0.5587595,Africa,oriental,Ethiopia,savannah,1108.60067,146.71653,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Australopithecus Bahrelghazali,3.79786184,Africa,central,Republic of Chad,mixed,351.04962,112.14213,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
hominino Ardipithecus ramidus / kabadda,4.5222832,Africa,oriental,Ethiopia,mixed,345.69792,114.12008,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Australopithecus Sediba,2.4526049,Africa,south,South Africa,mixed,298.91197,112.55157,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Australopithecus Garhi,2.8535659,Africa,oriental,Ethiopia,mixed,330.21631,116.69228,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Georgicus,2.00732729,Asia ,west,Georgia,savannah,852.8812,149.1022,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Bahrelghazali,3.51507242,Africa,central,Republic of Chad,mixed,407.34842,125.60648,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Australopithecus Sediba,2.01902304,Africa,south,South Africa,mixed,523.04779,100.78069,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Paranthropus Boisei,2.56016097,Africa,oriental,Ethiopia,forest,429.48164,107.08368,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Robustus,1.73949547,Africa,south,South Africa,jungle,501.74777,115.59684,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Sediba,2.16208036,Africa,south,South Africa,mixed,264.65254,107.38177,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Paranthropus Robustus,2.46572104,Africa,south,South Africa,jungle,502.73323,114.48677,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Habilis,2.32744389,Africa,oriental,Ethiopia,savannah,602.91341,131.23344,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Sapiens,0.15195248,Africa,oriental,Kenya,savannah,1293.0685,164.07259,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Erectus,1.28404361,Asia ,west,Indonesia,savannah,1133.81167,169.93023,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Rodhesiensis,0.84176331,Africa,oriental,Ethiopia,savannah,998.57064,142.63333,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
hominino Sahelanthropus tchadensis,7.12304204,Africa,central,Republic of Chad,mixed,180.73439,81.67673,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Erectus,1.16668427,Asia ,west,Indonesia,savannah,1155.68233,151.66734,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Habilis,2.67971445,Africa,oriental,Ethiopia,savannah,869.84459,132.87457,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Australopithecus Sediba,2.56698918,Africa,south,South Africa,mixed,278.37184,106.95422,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Antecesor,1.05158225,Europa,west,Spain,savannah,874.37299,174.67022,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Australopithecus Sediba,2.37122458,Africa,south,South Africa,mixed,340.1864,103.48375,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Paranthropus Robustus,2.39280867,Africa,south,South Africa,jungle,429.6204,120.26407,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Sahelanthropus tchadensis,7.6471961,Africa,central,Republic of Chad,mixed,208.09219,91.44696,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Rudolfensis,2.26515038,Africa,oriental,Kenya,savannah,741.11827,121.9901,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Australopithecus Afarensis,4.17907368,Africa,oriental,Kenya,mixed,369.08378,139.23838,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Heidelbergensis,0.5817723,Europa,central,Germany,cold forest,1411.35724,179.17608,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Sapiens,0.72312345,Africa,oriental,Kenya,savannah,1348.68336,161.09299,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Floresiensis,0.87388544,Asia ,oriental,Indonesia,peninsular,344.59787,99.47192,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
"Homo Neanderthalensis
",0.44611251,Europa,central,Germany,cold forest,1198.75057,168.22659,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Orrorin tugenencin,5.87190857,Africa,oriental,Kenya,forest,93.61021,127.18468,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Naledi,0.5011672,Africa,south,South Africa,jungle,345.09211,121.55715,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Garhi,2.35391531,Africa,oriental,Ethiopia,mixed,397.71902,117.81988,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
"Homo Neanderthalensis
",0.42761055,Europa,central,Germany,cold forest,1094.38634,157.88793,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Paranthropus Robustus,2.08327609,Africa,south,South Africa,jungle,467.55377,116.99946,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Anamensis,4.20613665,Africa,oriental,Kenya,forest-gallery,426.88684,119.76249,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Australopithecus Garhi,2.95849349,Africa,oriental,Ethiopia,mixed,351.83853,118.81326,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
"Homo Neanderthalensis
",0.65894789,Europa,central,Germany,cold forest,983.06539,165.45121,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Georgicus,2.43787917,Asia ,west,Georgia,savannah,576.0571,148.46193,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Anamensis,4.84009016,Africa,oriental,Kenya,forest-gallery,349.28853,128.99677,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Australopithecus Garhi,2.77970237,Africa,oriental,Ethiopia,mixed,472.87119,115.29015,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Australopithecus Afarensis,3.72725913,Africa,oriental,Kenya,mixed,441.67954,120.12182,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Australopithecus Sediba,2.27384329,Africa,south,South Africa,mixed,334.49091,107.75978,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Paranthropus Boisei,2.82390043,Africa,oriental,Ethiopia,forest,379.66716,105.4322,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
hominino Orrorin tugenencin,6.38678171,Africa,oriental,Kenya,forest,269.30372,129.81485,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
hominino Orrorin tugenencin,6.27753678,Africa,oriental,Kenya,forest,119.888,122.6392,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Georgicus,1.94220749,Asia ,west,Georgia,savannah,696.03243,144.29593,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Naledi,0.79610664,Africa,south,South Africa,jungle,378.34086,124.87538,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Naledi,0.54871393,Africa,south,South Africa,jungle,376.7452,131.82862,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Africanus,3.62864465,Africa,south,South Africa,forest-gallery,678.89687,116.4997,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Australopithecus Garhi,2.46542418,Africa,oriental,Ethiopia,mixed,230.0276,122.02656,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Australopithecus Africanus,3.94277811,Africa,south,South Africa,forest-gallery,417.77497,114.08934,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Paranthropus Aethiopicus,2.80658667,Africa,oriental,Kenya,forest-savanna,308.81901,115.65166,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Ergaster,1.44572456,Africa,oriental,Kenya,savannah,763.49388,164.23762,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Rudolfensis,2.41309586,Africa,oriental,Kenya,savannah,662.5735,133.06983,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
Homo Antecesor,1.0215425,Europa,west,Spain,savannah,975.26711,168.16166,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
hominino Ardipithecus ramidus / kabadda,4.59264961,Africa,oriental,Ethiopia,mixed,197.39907,107.45449,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Ergaster,1.97755121,Africa,oriental,Kenya,savannah,996.64159,153.81898,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Robustus,2.30911917,Africa,south,South Africa,jungle,590.38145,119.58547,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Garhi,2.64103001,Africa,oriental,Ethiopia,mixed,520.70658,120.02907,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Georgicus,1.78726805,Asia ,west,Georgia,savannah,809.88237,155.32498,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Paranthropus Robustus,2.59982456,Africa,south,South Africa,jungle,559.61762,117.44744,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Boisei,2.67514058,Africa,oriental,Ethiopia,forest,419.40193,112.18845,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Rodhesiensis,0.94318275,Africa,oriental,Ethiopia,savannah,1034.9443,149.40408,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Paranthropus Boisei,2.07972125,Africa,oriental,Ethiopia,forest,571.53762,103.72555,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Afarensis,4.14126135,Africa,oriental,Kenya,mixed,497.48337,128.39883,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
hominino Sahelanthropus tchadensis,7.6470642,Africa,central,Republic of Chad,mixed,168.76414,99.05971,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Naledi,0.24993334,Africa,south,South Africa,jungle,300.14488,120.97582,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
